id,parkId,cost,description,title
53,55,50.0,"Commercial tour vehicle rates are based on vehicle capacity. Pass is valid for the day of purchase and the next six days for a vehicle carrying the same group of passengers.

A commercial tour is defined as consisting of one or more persons traveling on an itinerary that has been packaged, priced, or sold for leisure or recreational purposes by an organization that realizes financial gain through the provision of the service. The entry fees of commercial tours are based upon the total capacity of vehicles t",Commercial Entrance - Van
54,55,60.0,"Commercial tour vehicle rates are based on vehicle capacity. Pass is valid for the day o

A commercial tour is defined as consisting of one or more persons traveling on an itinerary that has been packaged, priced, or sold for leisure or recreational purposes by an organization that realizes financial gain through the provision of the service. The entry fees of commercial tours are based upon the total capacity of vehicles that can carry seven or more passengers regardless of the actual number of passengers.",Commercial Entrance - Mini-bus
55,55,150.0,"Commercial tour vehicle rates are based on vehicle capacity. Pass is valid for the day of purchase and the next six days for a vehicle carrying the same group of passengers.

A commercial tour is defined as consisting of one or more persons traveling on an itinerary that has been packaged, priced, or sold for leisure or recreational purposes by an organization that realizes financial gain through the provision of the service. The entry fees of commercial tours are based upon the total capacity of vehicles.",Commercial Entrance - Motor Coach
56,55,100.0,"Each non-US resident aged 16 and older visiting Bryce Canyon National Park must pay a $100 nonresident fee (in addition to the standard entrance fee), unless admitted with an Annual or America the Beautiful Pass. This includes nonresidents entering as part of a commercial tour group, commercial use authorization (CUA) group, or concessioner tour group.",Nonresident
57,59,20.0,"Admits one single, private, non-commercial vehicle and all its passengers.",Entrance - Private Vehicle
58,59,15.0,"Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers.",Entrance - Motorcycle
59,59,10.0,"Admits one individual when entering by foot or bicycle. Groups of up to 4 people walking in or on bicycles are capped at $20 total.

Individuals 15 years old and younger are admitted free of charge.",Entrance - Per Person
60,59,30.0,1 to 6 / ($30),Commercial Entrance - Sedan
61,59,45.0,7 to 25 / ($45),Commercial Entrance - Van
62,59,45.0,7 to 25 / ($45),Commercial Entrance - Mini-bus
63,59,100.0,26 or more / ($100),Commercial Entrance - Motor Coach
64,59,20.0,"Organized Non-Commercial Groups include church groups, college/school groups, scouts, service organizations, military, etc.
Vehicles with a capacity of 16 or less are charged the $20.00 vehicle permit fee. Vehicles with 17 or more seats will instead be charged the $10 per person individual rate for any passengers that are not free. The total fee charged for an Organized Non-Commercial Group will not exceed $100 per vehicle.",Entrance - Non-commercial Groups
65,62,25.0,Admits the passholder and passengers of a single vehicle. Good for 7 consecutive days at all park entrances.,Entrance - Private Vehicle
66,62,20.0,"Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers.",Entrance - Motorcycle
67,62,15.0,"Good for 7 consecutive days at all park entrances. Admits one individual hiker, bicyclist, or pedestrian.",Entrance - Per Person
68,65,30.0,"Admits one private, non-commercial vehicle (15 passenger capacity or less) and all its occupants.",Entrance - Private Vehicle
69,65,25.0,"Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers.",Entrance - Motorcycle
70,65,15.0,"Admits one individual with no car. Typically used for bicyclists, hikers, and pedestrians. Youth 15 and under are admitted free.",Entrance - Per Person
71,66,25.0,"Pass is for one private, non-commercial vehicle — passenger cars, pickup trucks, RVs and vans.",Entrance - Private Vehicle
72,66,20.0,"Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers.",Entrance - Motorcycle
73,66,15.0,Pass is for one person 16 years of age or older — entering on foot or by bicycle.,Entrance - Per Person
74,72,20.0,An entrance fee is charged per vehicle.,Entrance - Private Vehicle
75,72,15.0,"Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers.",Entrance - Motorcycle
76,72,10.0,Admits one individual with no car. Typically used for bicyclists and pedestrians.,Entrance - Per Person
77,72,10.0,"Commercial Road-Based Tours are required to obtain a Commercial Use Authorization before visiting Capitol Reef.

When visiting the park, the tour must then pay the separate entrance fee at the visitor center (or through pay.gov).

Tours with vehicle capacity of 15 or less should apply for a CUA in the ""Guided Interpretive Tours"" category. Tours of this size fall under the Guided Activities entry fee structure.",Commercial Entrance - Per Person
78,72,100.0,"Commercial Road-Based Tours are required to obtain a Commercial Use Authorization before visiting Capitol Reef National Park.

When visiting the park, the tour must then pay the separate entrance fee at the visitor center (or through pay.gov).

Vehicle capacity of 16 seats or greater: $100.00 entrance fee",Commercial Entrance - Mini-bus
79,72,100.0,"Commercial Road-Based Tours are required to obtain a Commercial Use Authorization before visiting Capitol Reef National Park.

When visiting the park, the tour must then pay the separate entrance fee at the visitor center (or through pay.gov).

Vehicle capacity of 16 seats or greater: $100.00 entrance fee",Commercial Entrance - Motor Coach
80,72,10.0,"Guided Activities include all types of guided services, such as bike and motorcycle tours, hiking guides, photography classes, hiking shuttles, and road-based commercial tours with vehicles <16 capacity.

Guided activity groups are charged the per person fee of $10.00 per client, excluding the trip leader or guide. If a client has an America the Beautiful Resident pass (annual, senior, access, etc.) it covers 4 people in the group. (Non-resident annual passes cover only the pass owner.)",Commercial Entrance - Per Person
81,74,20.0,"Admits private, non-commercial vehicle (15 passenger capacity or less) and all occupants to Capulin Volcano National Monument. The maximum size of a vehicle allowed on the Volcano Road is 26 feet in length and/or 8 feet in width. Passes may be upgraded to annual passes within 7 days of purchase.",Entrance - Private Vehicle
82,74,15.0,"Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers. Capulin Volcano accepts the America the Beautiful - Federal Lands Passes (Interagency Annual, Senior, and Access passes) in place of an entrance fee. Passes may be upgraded to annual passes within 7 days of purchase.",Entrance - Motorcycle
83,74,10.0,"Admits one person arriving on foot or bicycle, or by commercial operator to Capulin Volcano National Monument.",Entrance - Per Person
84,74,10.0,"$10 per person for organized groups such as Scouts, Rotary, Clubs, Youth Groups, Churches, Reunions, etc. that do not qualify for an Academic Fee Waiver. Fees will not exceed the commercial fee for the same-sized vehicle. Youth 15 and under are free. Individuals or families with any valid Annual or Lifetime pass may use their pass for entry at the per person rate. The maximum size of a vehicle allowed on the Volcano Road without a permit is 26 feet in length and/or 8 feet in width.",Entrance - Non-commercial Groups
85,74,0.0,"Educational waivers will be provided in accordance with the Code of Federal Regulations Title 36: if the request is from ""organized tours or outings conducted for educational or scientific purposes related to the resources of the area visited by bona fide institutions established for these purposes.",Entrance - Education/Academic Groups
86,74,25.0,"Pass is valid for the day of purchase and the next six days for a vehicle carrying the same group of passengers. A commercial tour is defined as consisting of one or more persons traveling on an itinerary that has been packaged, priced, or sold for leisure or recreational purposes by an organization that realizes financial gain through the provision of the service. Entry fees of commercial tours are based upon the total capacity of vehicles.",Commercial Entrance - Sedan
87,74,40.0,"Pass is valid for the day of purchase and the next six days for a vehicle carrying the same group of passengers. A commercial tour is defined as consisting of one or more persons traveling on an itinerary that has been packaged, priced, or sold for leisure or recreational purposes by an organization that realizes financial gain through the provision of the service. The entry fees of commercial tours are based upon the total capacity of vehicles",Commercial Entrance - Van
88,74,40.0,"Pass is valid for the day of purchase and the next six days for a vehicle carrying the same group of passengers. A commercial tour is defined as consisting of one or more persons traveling on an itinerary that has been packaged, priced, or sold for leisure or recreational purposes by an organization that realizes financial gain through the provision of the service. The entry fees of commercial tours are based upon the total capacity of vehicles",Commercial Entrance - Mini-bus
89,74,100.0,"Pass is valid for the day of purchase and the next six days for a vehicle carrying the same group of passengers. A commercial tour is defined as consisting of one or more persons traveling on an itinerary that has been packaged, priced, or sold for leisure or recreational purposes by an organization that realizes financial gain through the provision of the service. The entry fees of commercial tours are based upon the total capacity of vehicles",Commercial Entrance - Motor Coach
90,77,1.0,"A timed entry reservation must be purchased to access Carlsbad Cavern. In addition, an entry pass must be purchased at the visitor center.

Time entry reservations ensure a more enjoyable experience and helps to protect the cave formations.",Timed Entry Reservation - Location
91,77,15.0,Entrance fee provides access to Carlsbad Cavern by elevator and hiking in. Ranger-guided tours are an additional fee and can be reserved on recreation.gov.,Entrance - Per Person
92,80,15.0,"The Castillo de San Marcos is considered to be a ""walk-in"" park. The entrance fee applies to each individual. Tickets are not transferable and cannot be given to other guests. Adults (Age 16 and above) entrance is $15.00 and valid for 7 consecutive days. Children (age 15 and under) are admitted free of charge but must be accompanied by an adult.",Entrance - Per Person
93,84,10.0,All Commercial Vehicles are $10 per person.,Commercial Entrance - Per Person
94,84,25.0,"Admits one private, non-commercial vehicle (15 passenger capacity or less) and all its occupants for 7 days.",Entrance - Private Vehicle
95,84,15.0,"Admits one individual with no car. Typically used for bicyclists, hikers, and pedestrians. Youth 15 and under are admitted free.",Entrance - Per Person
96,84,20.0,"Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers.",Entrance - Motorcycle
97,86,25.0,"This fee allows all persons traveling in one private, non-commercial vehicle (car/truck/van) to enter the park to visit for up to 7 days from the date of purchase.",Entrance - Private Vehicle
98,86,15.0,"This fee allows a single individual traveling on foot, bicycle, or as individuals traveling together in a vehicle as a non-commercial, organized group to enter the park to visit for up to 7 days from the date of purchase.",Entrance - Per Person
99,86,20.0,"Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers.",Entrance - Motorcycle
100,86,40.0,This fee for commercial entrance is charged per vehicle and based on the capacity of the vehicle.,Commercial Entrance - Van
101,86,100.0,This fee for commercial entrance is charged per vehicle and based on the capacity of the vehicle.,Commercial Entrance - Motor Coach
102,86,25.0,"Non-commercial groups are charged per vehicle and based on the capacity of the vehicle. For vehicles with a seating capacity of 15 or fewer, the fee is $25. For vehicles with a seating capacity of 16 or more, the fee is $15/person up to the commercial fee rate. Interagency passes may be used for entry in lieu of the $15/person fee.",Entrance - Non-commercial Groups
103,86,0.0,"If you represent an academic institution, you may be eligible for a fee waiver. Download and complete the Academic Fee Waiver and mail it to the park at least two weeks prior to your intended visit. We will notify you of the approval or disapproval of your application before your arrival. Please call 505-786-7014 for any additional questions about this process.",Entrance - Education/Academic Groups
104,86,40.0,This fee for commercial entrance is charged per vehicle and based on the capacity of the vehicle.,Commercial Entrance - Sedan
105,86,40.0,This fee for commercial entrance is charged per vehicle and based on the capacity of the vehicle.,Commercial Entrance - Mini-bus
106,91,5.0,Required for visitors age 16+ entering on foot or by bicycle. Valid for one day.,Entrance - Per Person
107,91,5.0,Private vehicle pass admits one private vehicle and its occupants for one day.,Entrance - Private Vehicle
108,91,5.0,"Valid for 1 day. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers.",Entrance - Motorcycle
109,92,20.0,"Pass is for one private, non-commercial vehicle — passenger cars, pickup trucks, RVs and vans — and is valid at the Great Falls area of the Chesapeake and Ohio Canal National Historical Park on the Maryland side of the Potomac River and Great Falls Park on the Virginia side of the Potomac River.",Entrance - Private Vehicle
110,92,15.0,"Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers to the Great Falls area of the Chesapeake and Ohio Canal National Historical Park on the Maryland side of the Potomac River and at Great Falls Park on the Virginia side of the Potomac River.",Entrance - Motorcycle
111,92,10.0,Pass is for one person 16 years of age or older — entering on foot or by bicycle — and is valid at the Great Falls area of the Chesapeake and Ohio Canal National Historical Park on the Maryland side of the Potomac River and at Great Falls Park on the Virginia side of the Potomac River.,Entrance - Per Person
112,92,100.0,"Includes church groups, college/school groups, scouts, service organizations, military, etc...
Vehicles with passenger capacity of fewer than 16 persons, $20 for the vehicle.
Vehicles with a passenger capacity of 16 or more persons, $10 per person age 16 and over.
Removal of seats from a vehicle does not then qualify for the lower rate. Age and pass exemptions apply.
The total fee charged for an Organized Non-Commercial Group will not exceed the $100 fee per vehicle.",Entrance - Non-commercial Groups
113,92,100.0,The commercial pass is valid for date of purchase plus six days at the Great Falls area of the Chesapeake and Ohio Canal National Historical Park on the Maryland side of the Potomac River. Please note that fees are based on vehicle capacity and not actual occupants.,Commercial Entrance - Motor Coach
114,92,40.0,The commercial pass is valid for date of purchase plus six days at the Great Falls area of the Chesapeake and Ohio Canal National Historical Park on the Maryland side of the Potomac River. Please note that fees are based on vehicle capacity and not actual occupants.,Commercial Entrance - Van
115,92,40.0,The commercial pass is valid for date of purchase plus six days at the Great Falls area of the Chesapeake and Ohio Canal National Historical Park on the Maryland side of the Potomac River. Please note that fees are based on vehicle capacity and not actual occupants.,Commercial Entrance - Mini-bus
116,92,25.0,The commercial pass is valid for date of purchase plus six days at the Great Falls area of the Chesapeake and Ohio Canal National Historical Park on the Maryland side of the Potomac River. Please note that fees are based on vehicle capacity and not actual occupants.,Commercial Entrance - Sedan
117,94,10.0,"Entrance fees only apply to Point Park, on Lookout Mountain. If you plan to visit Chickamauga Battlefield, parts of Lookout Mountain Battlefield, exclusive of Point Park, Missionary Ridge, Orchard Knob, Signal Point, or Moccasin Bend National Archeological District, entrance to the park areas is FREE.",Entrance - Per Person
118,97,10.0,Adults 16 and older.  Children under the age of 16 are admitted free with an adult.,Entrance - Per Person
119,101,15.0,Adult (16 and older) -$15; good for 7 days entrance to Yorktown Battlefield (and NPS areas at Historic Jamestowne); can be upgraded to see Preservation Virginia areas at Historic Jamestowne for an additional $15 at the Historic Jamestowne Visitor Center. Yorktown Battlefield will not be selling the $30 entrance permit for Historic Jamestowne.,Entrance - Per Person
120,102,25.0,"$25 for a private vehicle. Unlimited entry for one vehicle and all its passengers for seven consecutive days, beginning on the day of purchase. Private vehicle must be non-commercial and with a seating capacity of 15 or less.",Entrance - Private Vehicle
121,102,20.0,"Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers.",Entrance - Motorcycle
122,102,15.0,This pass is good for 7 days for an individual who is walking or bicycling into the monument.,Entrance - Per Person
123,102,15.0,"Organized groups such as Scouts, Rotary, Hiking Clubs, Youth Groups, Religious Institutions, etc. that do not qualify for an Academic Fee Waiver are charged as follows:  $15 per person, not to exceed the equivalent commercial rate.  Passes are valid for 7 days.  Youth ages 15 and under are free.  Individuals or families in the group may use any valid Annual or Lifetime pass for entry.  Pass and photo ID must be presented.",Entrance - Non-commercial Groups
124,102,0.0,Groups entering the park for educational purposes (curriculum-based classes or activities) may be eligible for a free academic fee wavier.  Email COLM_permits@nps.gov to apply for a waiver or for more information.,Entrance - Education/Academic Groups
125,102,25.0,"Cost:  $25, plus $15 per person to a maximum of $40.  The entry fees for commercial tours are based on the total capacity of vehicles that carry 7 or more people, regardless of the actual number of passengers.  Possession of an annual or lifetime pass, or the ages of the passengers, does not affect the price charged unless the vehicle's capacity is less than 7 passengers, excluding the driver.",Commercial Entrance - Sedan
126,102,40.0,"The entry fees for commercial tours are based on the total capacity of vehicles that carry 7 or more people, regardless of the actual number of passengers.  Possession of an annual or lifetime pass, or the ages of the passengers, does not affect the price charged unless the vehicle's capacity is less than 7 passengers, excluding the driver.",Commercial Entrance - Van
127,102,40.0,"The entry fees for commercial tours are based on the total capacity of vehicles that carry 7 or more people, regardless of the actual number of passengers.  Possession of an annual or lifetime pass, or the ages of the passengers, does not affect the price charged unless the vehicle's capacity is less than 7 passengers, excluding the driver.",Commercial Entrance - Mini-bus
128,102,100.0,"The entry fees for commercial tours are based on the total capacity of vehicles that carry 7 or more people, regardless of the actual number of passengers.  Possession of an annual or lifetime pass, or the ages of the passengers, does not affect the price charged unless the vehicle's capacity is less than 7 passengers, excluding the driver.",Commercial Entrance - Motor Coach
129,108,30.0,"This is the summer entrance fee and is charged from mid-May through the end of October.  Admits one private, non-commercial vehicle (15-passenger capacity or less) and all occupants. Good for 7 days.",Entrance - Private Vehicle
130,108,20.0,"This is the winter entrance fee.  Admits one private, non-commercial vehicle (15-passenger capacity or less) and all occupants. Good for 7 days.",Entrance - Private Vehicle
131,108,25.0,"Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers. Summer rate from mid-May to October 31st.",Entrance - Motorcycle
132,108,15.0,"Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers. Winter rate from 11/1 through mid-May.",Entrance - Motorcycle
133,108,15.0,"Admits one individual with no motor vehicle (bicyclist, hiker, pedestrian). Youth 15 and under are admitted free of charge. Good for 7 days.",Entrance - Per Person
134,108,15.0,Admits one individual on a snowmobile for travel on snow covered North Entrance Road closed to regular vehicle traffic. Youth 15 and under are admitted free of charge. Good for 7 days.,Entrance - Snowmobile
135,108,25.0,"Fees for commercial vehicles are based on the capacity of the vehicle, not the number of passengers on board.  In addition to the $25 per vehicle there is also a $15 per passenger charge.",Commercial Entrance - Sedan
136,108,75.0,"Fees for commercial vehicles are based on the capacity of the vehicle, not the number of passengers on board.",Commercial Entrance - Van
137,108,100.0,"Fees for commercial vehicles are based on the capacity of the vehicle, not the number of passengers on board.",Commercial Entrance - Mini-bus
138,108,200.0,"Fees for commercial vehicles are based on the capacity of the vehicle, not the number of passengers on board.",Commercial Entrance - Motor Coach
139,109,20.0,"This per-vehicle fee applies to private, non-commercial vehicles and provides entrance into the park for seven consecutive days. The fee covers the driver and any passengers.",Entrance - Private Vehicle
140,109,15.0,"Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers.",Entrance - Motorcycle
141,109,25.0,This per-vehicle fee applies to commercial vehicles and provides entrance into the park for seven consecutive days.,Commercial Entrance - Sedan
142,109,10.0,This per-person fee provides entrance into the park for seven consecutive days. Youth age 15 and under are free.,Entrance - Per Person
143,109,0.0,Classes or groups from accredited academic institutions may apply for a fee waiver ahead of their visit by contacting the park. Academic fee waivers are not granted automatically. Educational groups must apply and meet the two criteria to receive a fee waiver: 1) eligibility and 2) educational purpose and relevance of park resources or facilities. Groups that choose to not make a reservation or apply for an academic fee waiver will be charged the standard entrance fee per vehicle.,Entrance - Education/Academic Groups
144,109,100.0,This per-vehicle fee applies to commercial vehicles and provides entrance into the park for seven consecutive days.,Commercial Entrance - Motor Coach
145,109,40.0,This per-vehicle fee applies to commercial vehicles and provides entrance into the park for seven consecutive days.,Commercial Entrance - Van
146,111,15.0,Cumberland Island National Seashore has a per-person entrance fee. This fee is waived for America the Beautiful pass holder plus three adults. Must present pass at time of check-in.,Entrance - Per Person
147,117,30.0,"All visitors, including Non-US residents, may purchase and utilize this entrance fee. Purchasing this entrance fee allows all persons traveling in one single private, non-commercial vehicle (car/truck/van/RV/aircraft) to leave and re-enter the park as many times as they wish during the 7-day period from the date of purchase.",Entrance - Private Vehicle
148,117,25.0,"All visitors, including Non-US residents, may purchase and utilize this entrance fee. Purchasing this entrance fee allows all persons traveling on 2 private, non-commercial motorcycles to leave and re-enter the park as many times as they wish during the 7-day period from the date of purchase.",Entrance - Motorcycle
149,117,15.0,"All visitors, including Non-US residents, may purchase and utilize this entrance fee. Purchasing this entrance fee allows a single individual traveling on foot or individuals traveling on one bicycle to leave and re-enter the park as many times as they wish during the 7-day period from the date of purchase.",Entrance - Per Person
150,117,15.0,"1 - 15 Passenger Vehicle: $15 per person.

In addition to the entrance fees listed below, additional permits are required for commercial groups, special park uses (weddings, memorialization, group events, etc.), commercial film and photography, research, and more.",Commercial Entrance - Per Person
151,117,100.0,"16 - 25 Passenger Vehicle: $100

In addition to the entrance fees listed below, additional permits are required for commercial groups, special park uses (weddings, memorialization, group events, etc.), commercial film and photography, research, and more.",Commercial Entrance - Mini-bus
152,117,200.0,"26 + Passenger Vehicle: $200

In addition to the entrance fees listed below, additional permits are required for commercial groups, special park uses (weddings, memorialization, group events, etc.), commercial film and photography, research, and more.",Commercial Entrance - Motor Coach
153,117,15.0,"Non-commercial Groups (e.g., Scout groups, church groups, etc.) entering in a vehicle with a capacity of 16 persons or more are charged per-person for each person on board, not to exceed $200.",Entrance - Non-commercial Groups
